idDecouverte;syntheseDecouverte
987;"L’opération archéologique a apporté des données inédites sur cette fortification. Certes, contrairement à la fouille de 1997 (sondage 2), les sondages n’ont pas donné d’informations stratigraphiques déterminantes car ils n’ont pu être menés jusqu'au terrain vierge et à la fondation de la fortification. Les niveaux rencontrés ne sont que des niveaux très tardifs de remblais contemporains marquant les dernières étapes d’exhaussement des terrains. En revanche l’étude du bâti, qu’il ait été retrouvé dans les sondages 2 et 4 ou qu’il soit conservé en élévation, a conduit à la découverte de plusieurs éléments jusqu’alors inconnus de la construction. Pour la première fois a été mis au jour l’arrondi d’une tour côté ville. Cela en a permis une restitution en plan complète. Ainsi, l’articulation de la tour au mur de courtine a pu être mise en évidence. Elle se présente à la tangente des deux éléments côté ville, sous la forme d’un petit ressaut. Cette jonction ne correspond pas à une distinction dans la construction puisqu’il y a continuum de la maçonnerie entre les deux éléments. Cela est attesté en particulier par l’utilisation d’un même mortier.
Ce ressaut supérieur marque le niveau de l’allée haute. Cela est confirmé par une découverte exceptionnelle, celle de la porte de communication entre la courtine et la tour, la base de la pierre de seuil de ce passage étant à la même altitude. Cette ouverture est conforme aux représentations les plus anciennes connues sur les plans du XVIe siècle (en particulier les plans de la Grande Gouache et de la Tapisserie, d’après sa copie de 1668), tous repris d’une même matrice cartographique disparue, produite entre 1523 et 1530. La hauteur de la courtine a perduré longtemps puisqu’elle a servi pour établir celle du mur construit à partir de 1639 en fond de jardin de l’hôtel d’Albret. Ce mur est toujours visible dans toute cette hauteur d’origine dans le jardin qui vient d’être créé en limite parcellaire du 8, rue des Rosiers.
La mise en relation de ces nouvelles données avec d’autres provenant pour la plupart des sections d’enceinte conservées ou bien documentées de la rive droite a conduit à proposer des hypothèses de restitution. Parmi les données anciennes reprises, il faut mentionner les hauteurs maximales conservées des sections du mur et des tours et l’existence sur plusieurs de ces dernières d’un petit ressaut à leur base. Ces restitutions s’appuient sur des modules simples en toises de Paris (valeur retenue de 1,959 m).
En raison du manque d’uniformité constaté de la construction qui s’étale sur 25 ans, ces restitutions ne peuvent s’appliquer systématiquement à l’ensemble de la fortification.
Il est nécessaire de privilégier la rive droite et en particulier la très longue section rectiligne entre la porte Saint-Martin et la tour formant l’angle nord-est de la fortification, rue de Sévigné. La très grande similitude entre la tour de la rue des Rosiers et celle qui vient d’être restaurée au Crédit municipal - en particulier de leur mortier (Prélèvement n° 5)  - soutient l’hypothèse d’une même équipe de construction réalisant un chantier en continuité selon des méthodes et des modules standardisés. 
Il est à remarquer que l’on n’y retrouve pas certains aspects  « canoniques » de la construction philippienne classique : le talus de base de la tour (qui est présent en revanche, sur les tours de la rive gauche reconnues jusqu’à leur base), les archères et surtout le fossé. Cette partie ayant été construite chronologiquement en premier dans la dernière décennie du XIIe siècle, faut-il y voir des archaïsmes qui seront par la suite abandonnés ? Leur origine pourrait se situer dans des fortifications légèrement antérieures, voire tout juste contemporaines, par exemple le château non royal de Druy-les-Belles-Fontaines (Yonne) qui aurait été établi dans les trente dernières années du XIIe siècle (Chatelain, p. 137). Ce dernier présente certaines des caractéristiques reconnues de ce modèle : le plan géométrique ramassé, les courtines rectilignes, les tours circulaires d’angle ou de milieu de courtines flanquant ces dernières. Mais on n’y remarque pas, comme sur la section d’enceinte de Paris dont il est question, de talus de base, de fossé ou d’archères alors que la disposition saillante des tours le permettait. L’enceinte de Paris n’aurait alors constitué que progressivement le prototype de l’architecture urbaine militaire philippienne si souvent énoncé."
212;"En 1927, la Commission du Vieux Paris eut à intervenir sur cette parcelle à la suite de la démolition des immeubles qui s’y trouvaient. Lors des travaux des éléments d’architecture correspondant à deux phases de constructions distinctes furent observés au niveau du rez-de-chaussée. À partir d’une analyse stylistique des blocs retrouvés les fouilleurs conclurent qu’il s’agissait d’éléments appartenant au « petit séjour de Navarre » (XVIe siècle)."
301;"Deux pierres sculptées ont été découvertes en 1935, lors de fouilles pour l'établissement du chauffage urbain. La première est  un cul-de-lampe représentant une figurine moitié femme, moitié chimère, qui pourrait dater du XVe siècle. Elle présentait une analogie avec une autre petite sculpture figurant un angelot trouvée rue des Écoles en 1924 et qui datait du XVe siècle. La seconde est un fragment de bénitier de forme trilobée."
179;Aucune découverte.
324;"Une partie du piédestal de la statue équestre de Louis XIII, place des Vosges (XVIIe siècle), a été découverte en 1935, au cours de la démolition d'un petit bâtiment à l'usage de débit de vins. Il portait à la partie supérieure une trace de décoration, au-dessous une inscription en capitales penchées de douze lignes. « La première a été mutilée au ciseau et au marteau ; il n'en reste que deux lettres bien lisibles : H (suivi peut-être d'un I) et plus loin un P. Ces mutilations datent certainement de l'époque révolutionnaire. Enfin, l'inscription doit être légèrement tronquée puisqu'une bande de pierre pouvant avoir 20 centimètres de largeur a été sciée en toute épaisseur et sur toute la hauteur du bloc qui subsiste, et à droite ». Elle se compose de vers latins laudatifs."
259;"Des fossiles ont été découverts eu 1929, lors de la construction de caves, à une profondeur de 30 ou 35 centimètres dans la couche de calcaire grossier, sise au-dessous des remblais qui atteignent à cet endroit cinq à sept mètres. Ces fossiles sont dits crassutella tumida."
265;Aucune découverte.
266;Aucune découverte.
441;"En août 1956, à l'occasion de travaux de construction, des « vestiges d'habitats romains » auraient été découverts en deux points de la parcelle. Ils se caractériseraient par la présence de « deux foyers de cendres » dont l'un serait vers la cote 50.86 (?) et de tessons de céramiques antiques. On remarquera qu'aucune trace de sépulture n'est cependant mentionnée. 
Au cours des mêmes travaux, une gourde verte du XVIe siècle a également été découverte."
667;"Les travaux d'aménagement de la crypte entre 1981 et 1983 ont permis plusieurs découvertes. Dans un premier temps, le piquetage des murs de la chapelle Saint-Symphorien,a permis le dégagement, d'une part, du fût et du chapiteau de la colonné dont la base avait été mise au jour en 1971 par J. Dérens, ainsi que de la voûte qui s'y appuyait. D'autre part, le mur sud de la chapelle a quant à lui livré un arc triomphal avec des décors peints, daté du XIe siècle, muré, puis aménagé d'une fenêtre appareillée.
Dans un deuxième temps, un escalier, condamné au XVIIe siècle, a été dégagé au sud-est de la tour de Morard. Les gravats qui condamnaient l'accès ont livré notamment des éléments de vritrerie datés du XIIe-XIVe siècles."
681;- Aucune découverte (?).
646;"En 1978, des travaux ont mis au jour des maçonneries du pont de la bastide Saint-Honoré."
580;"En 1975, les restes d'un habitat privé avec enduits peints ont été fouillés par la Commission du Vieux Paris."
581;"Deux chaussées d'époque romaine ont été observées, à l'occasion du creusement d'une tranchée de gaz. La plus ancienne, à trois mètres sous le sol actuel, était constituée d'un pavage de petits blocs de grès chargé d'un cailloutis. Elle était séparée d'une chaussée plus récente faite de grandes dalles de grès (celle qui a été retrouvée antérieurement rue Saint-Jacques) par une couche de remblai épaisse d'environ 50 centimètres."
873;"A l'occasion de l'établissement d'un conduit d'aération et d'une sortie de pompiers du futur métro Météor, la RATP s'est rendue propriétaire de deux terrains 11 et 13, rue du Louvre. De forme triangulaire, ces terrains proviennent de maisons détruites pour le percement de la rue du Louvre, au début de la IIIe Rèpublique. Peu profonds, ils sont bordés à l'ouest par des murs mitoyens de faible hauteur, dont l'appareil est moderne mais qui comporte quelques pierres de remplois anciennes. Ces murs suivent un tracé qui couperait de biais la rue du Louvre, et on y remarque une forme arrondie présentée traditionnellement comme un vestige d'une tour de l'enceinte de Philippe Auguste, dont le tracé passait effectivement à cet endroit (tronçon porte Saint-Honoré-porte Coquillière). Les travaux ont été précédés d'une fouille du Service de l'Archéologie, destinée à reconnaître les vestiges de l'enceinte au moyen de deux sondages, dont la conclusion avait été que si le tracé de l'enceinte était bien matérialisé par la forme de la parcelle. il n'en subsistait pas de vestiges.
Mais, par la suite, un fragment de la tour a été mis au jour lors des travaux de la R.A.T.P. sous le niveau du trottoir et a pu être conservé grâce à un ouvrage en béton adapté. Légèrement cintré, le fragment est composé d'un appareil moyen régulier, bien reconnaissable, et mesure environ 1,50 m sur 0,60 m de hauteur. Le rayon du vestige découvert ne correspondant pas avec celui du mur mitoyen qui le surplombe, celui-ci n'est donc qu'une empreinte de la tour disparue en élévation ; on sait qu'une cage d'escalier occupait le volume de la tour sous l'Ancien Régime, ce qui expliquerait qu'il y ait eu des remaniements."
591;"En 1976, des travaux de réseaux entraînèrent la découverte d'une section de l'enceinte de Charles V à la hauteur de la bastide Saint-Denis."
690;"En 1983, une surveillance archéologique fut effectuée par la CVP, sur l’ile de la Cité, à l’angle du quai de Marché Neuf et du Petit Pont. Cette intervention se déroula dans le cadre du creusement d’un puits de décompression de la  RATP de 6,30 m de diamètre (station Saint-Michel RER B). 
Les artefacts (éléments architecturaux) apparaissaient dès la cote de 20 m NVP. Culminant à 22 m  NVP, se trouvaient de longues pièces en bois horizontales (dont une poutre équarrie e un pieu), associées à un empierrements ponctuel, et prises dans des sédiments alluvionnaires. Ces derniers ont livré de la céramique du Bas-Empire, des objets métalliques et de la faune. 
Dans la partie supérieure du sondage ont été mis au jour les vestiges d’une maison identifiée sur le plan de Berty et le plan Terrier du Roi. Celle-ci était parallèle à la berge du fleuve et sa la façade alignée rue du Petit-Pont.  Les fondations en pierre reposaient sur des poutres horizontales, elles-mêmes soutenue par des pieux verticaux épointés et ferrés."
592;"Lors de travaux des P.T.T. en 1976, des vestiges des tours de l'enceinte du XIIIe siècle du prieuré de Saint-Martin-des-Champs ont été étudiés par la Commission du Vieux Paris. L'enceinte du prieuré, datée de 1273, a été relevée à la fois au 254 rue Saint-Martin et au 46-48 de la rue de Turbigo.
Devant le portail occidental de l'église Saint-Nicolas-des-Champs furent découvertes cinq marches d'origine."
708;Découverte de céramique gallo-romaine et d'un mur orienté est-ouest qui pourrait appartenir à l'ancien marché médiéval de Saint-Germain.
714;
754;"En 1989, une fouille permit d'étudier l’intérieur d'une insula antique, limitée au nord par la voie decumane de l'École des Mines, à l'est par la voie cardinale du boulevard Saint-Michel. 
Deux fosses antérieures au bâti relève de la phase dite proto-urbaine. Elles sont interprétées comme des fosses d'extraction de matériau destiné à la construction. Leur comblement interviendrait aux alentours du changement d'ère.
Le premier état de l'insula a été attribué à l'extrême fin du Ier siècle av. J.-C. ou au début du Ier siècle apr. J.-C. Il comprend une partie bâtie correspondant soit à une maison en L, soit à deux maisons mitoyennes. À l'est se trouve un espace non construit, peut-être une cour, mais aucune trace d'occupation n'y a été décelée.  
Des poutres sablières ont été utilisées pour la construction des murs du rez-de chaussée.
Le deuxième état architectural, sans exhaussement des sols notable, se traduit surtout par des réaménagements mineurs, respectant l'organisation et les alignements d'origine. Cette phase, scellée par un incendie, s’étend jusqu'à l'époque claudienne. 
Le troisième état architectural, de la fin du IIe siècle ou du début du IIIe siècle, est caractérisé par des constructions en maçonnerie, difficiles à appréhender. En effet, les murs ont été récupérés quasiment jusqu'aux fondations et les sols correspondants ont complètement disparu, arasés par des travaux de la période moderne.
La découverte d'une monnaie du milieu du IIIe siècle dans l'une des tranchées de récupération atteste un abandon et une récupération des matériaux dès au moins cette époque."
766;"En 1989, à l'occasion de la construction d'un gymnase, une opération de sauvetage programmé a été conduite sur une surface de 400 m2, ainsi que sur des puits de fondations. La fouille a permis la découverte d'occupations urbaines et artisanales s'étalant du Ier siècle (peut-être légèrement avant) jusqu'au IVe siècle environ. 

Le sommet du substrat géologique est constitué par les sables et graviers du Quaternaire. La base des niveaux antiques se trouve en moyenne à la cote 50,50 m NVP mais ils peuvent descendre ponctuellement lors d'aménagements particuliers (four par exemple). Ils sont épais en moyenne de 70 cm et reposent sur les sables de Beauchamp d'une épaisseur irrégulière. 
Quatre puits antérieurs aux premiers états des maisons ont été relevés, seul le plus profond a été fouillé. De la céramique issue de son comblement a été attribuée, avec prudence, à une quinzaine d'années avant notre ère.

Le premier état de construction est sans doute datable du Ier  siècle. Il s'agit des éléments d'une construction (habitation ?) aux sols d'argile et aux murs de clayonnage et torchis sur poutres sablières basses. L'orientation des vestiges correspond à celle du cardo dans sa section biaise. Elle est donc différente de celle de l'axe dominant du plan programmé.

Le second état reprend l'orientation précédente. Il comportait à l'ouest, une installation de potier comprenant deux four, quatre fosses circulaires interprétées comme des fosses à argile, plusieurs murs maçonnées relevant de constructions légères et un puits à eau. À l’est de cet ensemble, se trouvait un bâtiment dont les murs en maçonnerie avaient été en grande partie récupérés. Il se composait de plusieurs grandes pièces, aux sols d'argile ou de mortier, disposées autour d'une cour centrale. Ces vestiges pourraient constituer une dépendance de l'atelier (lieux de tournage, de stockage ou de vente, habitation des artisans). 

Le site semble faire partie d'une zone artisanale plus vaste à laquelle appartiendrait le four du 12 rue des Feuillantines de l’autre côté du Cardo (et peut être également celui du 11, rue des Ursulines). Ces productions se retrouvent sur de nombreux sites parisiens et même sur ceux de la région.

Au Moyen-Âge, la parcelle fit partie des possessions de la Commanderie de Saint-Jacques-du-Haut-Pas, puis, au XVIe siècle, elle fut incluse dans le couvent Saint-Magloire, dépendant des Oratoriens, où elle resta en grande partie à l'état de jardin. Aucune construction importante n'est venue s'installer sur le site depuis l'Antiquité."
2000;"En 1994, l'îlot Méjean de la ZAC Citroën a fait l'objet d'une surveillance archéologique s'étendant sur une emprise de 36 000 m² de part et d'autre de l'ancienne rue Leblanc. La mise en évidence de la berge gallo-romaine associée à des dépôts de fond de rivière à plus de 300 m du cours actuel de la Seine laisse entrevoir la possibilité, pour tout ce secteur jusqu'au pont de Bir Hakeim, d'une très bonne conservation des structures d'aménagements de berge de cette époque.
Les coupes géologiques ont permis de restituer les états successifs de ces bords de Seine depuis la topographie du sol Holocène, jusqu'à celle du sol mis en culture aux XVIIIe-XIXe siècles. Du mobilier en situation de rejet laisse supposer une fréquentation antique du site, peut être liée à la zone de hauts fonds observée dans le fleuve à cet endroit."
2004;"En 1892-1895, les terrassements liés à la construction de la Mairie du Xe arrondissement ont été l'occasion d'observer l'ancien bras mort de la Seine. Les alluvions anciennes s'y trouvent à la cote  27.00 m NVP.  Elles sont surmontées de quatre mètres de niveaux hydromorphes."
1205;"À une date non précisée, Théodore Vacquer observa devant le n° 8 de la rue de la Montagne Sainte-Geneviève un tronçon de la voie antique qui suivait le tracé actuelle des rues Descartes et Mouffetard, voie oblique par rapport au carroyage orthonormé de la ville romaine. Les niveaux de voirie antique étaient surmontés de recharges datant de l'époque mérovingienne. Le niveau d'apparition de cette séquence se trouvait à 1,40 m sous les pavés situés en contrebas de l'escalier desservant aujourd'hui les commerces et hôtels des n° 14 à 8. Il nota également la présence dans les remblais de tubuli antiques. Et en 1867, il en observa un tronçon à l'angle de la rue Basse des Carmes."
1814;"Pendant dix-huit mois, entre 1989 et 1990, une vaste fouille s'étendant sur plus de trois hectares, a été conduite dans les Jardins du Carrousel. Elle constituait la troisième opération archéologique liée aux travaux du Grand Louvre après celles de la Cour Carrée et de la Cour Napoléon. 
Les plus anciennes traces d'occupation humaine sur le site du Louvre sont datées du Néolithique. Si aucune structure d'habitat n'a pu été mise en évidence, un ensemble de fosses a lui été étudié. Certaines d'entre elles, situées dans la partie nord du chantier, ont livré de nombreux fragments de torchis brûlé, indiquant la présence d'un habitat à proximité. Ces témoins matériels complètent les découvertes faites en 1986, lors des fouilles réalisées à l'emplacement du Laboratoire des Musées de France. 
L'occupation protohistorique est attestée par une sépulture isolée du Bronze ancien (datée par carbone 14 entre 2500 et 1700 BC), par des fosses et des silos du Bronze final et de La Tène ancienne III ainsi que par quelques structures en bois (constructions sur poteaux de bois). En raison du peu d'indices chronologiques trouvés dans les trous de poteaux, la datation et le lien entre ces derniers et les silos ou fosses restent difficiles à établir. 
L'emprise de l'homme sur le milieu et la transformation du paysage s'accentuent dès l'Âge du Bronze. La présence de silos et les données environnementales (anthracologie, malacologie, paléocarpologie) suggèrent une mise en culture progressive dans un paysage encore boisé. 
À l'extrême fin de La Tène finale et au début de l'époque romaine, un grand enclos de 60 m de côté environ est établi sur le faible relief en bordure de Seine. La fouille de cette structure, réalisée en grande partie en 1986, a pu être achevée lors de cette opération. De forme grossièrement quadrangulaire, l'enclos est entouré par un fossé au profil en V, large de 2,60 m et profond de 1,70 m. Quelques trous de poteaux au centre pourraient appartenir à des constructions en bois. L'identification de cette structure reste conjecturale. À titre d'hypothèse, on pourrait penser à une petite ferme dont l'existence a sans doute été assez éphémère. 
À l'abandon et au comblement du fossé succède un nouvel habitat, dont quelques rares traces, matérialisées par des fosses de rejets domestiques et de rares trous de poteaux, ont été repérées au même endroit. Cet habitat, qu'on peut dater du début du Ier siècle, est lié chronologiquement à l'ouverture d'une vaste carrière à ciel ouvert destinée à l'exploitation du limon. Elle couvre près des deux tiers de la surface des Jardins du Carrousel et s'étend aussi dans la Cour Napoléon, atteignant une superficie minimale d'environ 4 ha. 
Par la suite, le site du Carrousel retrouve la fonction agricole qu'il avait perdue quelque temps. Au Bas-Empire, une nouvelle organisation de l'espace est définie par un petit habitat et un parcellaire.
Aux pieds des actuels pavillons Mollien et la Trémoille du Louvre, les vestiges d'une vaste demeure périurbaine du XIVe siècle ont été retrouvés. Malgré de nombreuses lacunes,  une disposition en U a été restituée, avec trois corps de bâtiment agencés autour d'une cour ouverte vers la Seine. Le bâtiment occidental paraît avoir possédé une grande salle rectangulaire à piliers. L'aile principale, au nord, était flanquée d'un escalier hors œuvre. Une cave était creusée sur la moitié de sa surface. La troisième aile, à l'est, semble bien avoir principalement abrité des installations de service. Malgré le mauvais état de conservation des vestiges, les découvertes matérielles et surtout un important ensemble d'enduits peints attestent de la richesse de cette demeure. La construction de l'enceinte dite de Charles V provoque la destruction de cette demeure et entraîne pour plus de deux siècles une coupure profonde dans la topographie locale. Les grandes lignes de l'histoire de cette fortification sont connues. Sa construction fut entreprise à l'initiative du prévôt des marchands Étienne Marcel, suite au désastre de Poitiers en 1356. Abandonnés à sa mort, les travaux furent repris à partir de 1365 par Charles V et durèrent environ trente ans. L'ouvrage fut achevé vers 1420, sous Charles VI. Progressivement désaffecté, il ne sera vraiment abandonné que dans les années 1630, lorsque les terrains libérés par sa destruction seront vendus et lotis.
Malgré une relative abondance de sources, sa configuration restait assez conjecturale (Bonnardot, 1852). L'une des interrogations majeures des historiens était de savoir si ces fortifications avaient succédé à d'autres, éventuellement en relation avec les travaux d'Étienne Marcel. Les fouilles ont effectivement mis au jour ce qui pourrait être un embryon de défense, resté inachevé. Il s'agit d'un vaste creusement aux parois droites, large de 12,70 met profond de 4 m, découvert dans l'angle nord-est du site, sous le rempart de terre du XIVe s. Seule son extrémité sud est connue. Il se poursuit vers le nord, en dehors de l'emprise de la fouille. L'observation attentive de la structure et de son comblement a permis de noter que les déblais extraits du creusement avaient été rejetés de part et d'autre, qu'elle resta ouverte peu de temps et fut remblayée rapidement avec les mêmes terres. La céramique provenant de cette structure date du XIVe siècle et plus vraisemblablement de la seconde moitié du siècle. Les observations, trop partielles, sont insuffisantes pour interpréter définitivement ces travaux. Par ses caractéristiques, la structure s'apparente fortement à un fossé en cours de creusement, mais qui n'aurait jamais été achevé. Malgré les aménagements successifs des XIVe, XVe et XVIe siècles, l'état d'origine de l'enceinte a pu être retrouvé en grande partie. Il comprend d'est en ouest, c'est-à-dire de la ville vers la campagne : un chemin, un rempart de terre d'environ 25 m de large, un ou deux fossés en eau, d'une largeur équivalente, et enfin des défenses avancées, composées d'une levée de terre, d'un autre chemin et d'un puis de deux fossés secs. L'ensemble de ces éléments défensifs s'étagent sur une profondeur assez remarquable d'environ 90 m. 
L'enceinte est transformée au début du XVIe siècle par la modification du profil du fossé, large dorénavant de trente mètres et profond de sept, ainsi que par la construction de puissants murs d'escarpe et de contrescarpe. Environ trois cents marques lapidaires ont été relevées sur les parements. 
La construction de l'enceinte a entraîné une urbanisation rapide du secteur jusqu'au château du Louvre. Par contre, les terrains situés extra muros n'ont été urbanisés que fort lentement. Les maisons et dépendances élevées devant les défenses avancées appartiennent à un lotissement créé à l'emplacement d'un terrain appartenant primitivement à l'hôpital des Quinze-Vingts, scindé en deux par la construction de l'enceinte. Témoin de l'extension de la ville au Bas Moyen Âge et de l'urbanisation des faubourgs, ce quartier s'est développé par morcellement entre 1402 et les années 1550. Jusqu'à sa destruction en 1567-1568, il constituera l'extension maximale de la ville vers l'ouest. Quatre parcelles ont été totalement dégagées et fouillées. Chaque parcelle comprend, du moins dans son état final (première moitié du XVIe s.), un habitat ou un atelier sur rue, une cour abritant des dépendances et un jardin à l'arrière, relié à la rue par un étroit passage. 
L'utilisation dominante du plâtre caractérise ces constructions : sols, enduits, liant et même les moellons des murs sont réalisés dans cette matière. La pierre n'est utilisée que ponctuellement. 
Toutes ces parcelles présentent plusieurs états de construction, témoins des transformations rapides de l'habitat. En soixante-dix ans environ, les deux parcelles les mieux étudiées ont connu respectivement quatre et six états de construction. 
La construction du château des Tuileries entraîne la destruction et l'arasement de cet embryon de quartier. Déjà en 1986, la mise au jour de murs appartenant au projet initial de Philibert de l'Orme avait montré que celui-ci était plus avancé qu'on ne le pensait. Le dégagement des fondations des ailes latérales du château permet dorénavant de préciser son plan, conçu dans les années 1564-1570 pour Catherine de Médicis. Les fouilles montrent clairement que le projet initial de Philibert de l'Orme se composait au moins d'une aile principale et de deux corps en retour d'équerre. Ces derniers subsistaient sous la forme de tranchées de récupération et de fondation appartenant à deux projets de construction très semblables et très rapprochés dans le temps. Alors que les fondations du premier projet s'arrêtent à hauteur des parcelles loties devant l'enceinte, celles du second sont jetées au travers des maisons et des tuileries. Apparemment, ces travaux sont restés inachevés, comme en témoignent les différents stades d'avancement des travaux. Aucune trace d'une quatrième aile, fermant le château à l'est, n'a été trouvée, sans qu'on puisse dire si elle était prévue, ou non. Tel qu'il se dessine, ce plan montre que l'image grandiose du château qu'a donnée J. Androuet du Cerceau en 1579 n'était peut-être pas totalement imaginaire.
Dans la partie méridionale du site, ont été dégagés quelques restes appartenant aux installations tuilières et à l'atelier de Bernard Palissy. L'intérêt de ces vestiges tient principalement dans la découverte d'un nouvel ensemble de productions attribuables au célèbre céramiste."
1739;La construction de l'égout de la rue d'Ormesson en 1898  a permis la découverte de fragments d'architecture et de sculpture du XIIIe et du XVe siècle à l'emplacement de l'aile sud du cloître de l'ancien couvent Sainte-Catherine.
1192;"À une date indéterminée, Théodore Vacquer découvrit un tronçon de la voie antique dite de la rue de Vaugirard."
24;"Rue Saint-Antoine, « à hauteur des n° 211 et 236 » (n° 6 et 1 actuels), les substructions de la tour de la Liberté du château de la Bastille (XIVe siècle) ont été découvertes en 1898-1899, lors de la construction de la ligne n° 1 du métropolitain. De nombreuses marques de tâcherons furent relevées. Ces vestiges furent remontés et sont actuellement visibles au square Henri-Galli. Rue Saint-Antoine (à l'angle nord-ouest avec la rue Jacques-Coeur), les vestiges de la contrescarpe occidentale de la Bastille ont été mis au jour lors des mêmes travaux."
1134;"Le diagnostic du 8 Cité du Sacré Coeur se situe dans une zone peu exploitée archéologiquement mais toutefois sensible par les données historiques et la possible présence de vestiges antiques voire médiévaux. L'opération n'a cependant révélé que de rares tessons de céramiques médiévales. La majeur partie du mobilier est principalement datée du XVIIIe au XIXe siècle. Les tranchées n'ont révélé que des couches de remblais suivant un dénivelé du sud au nord n'attestant d'aucune occupation précise, hormis des fosses à gravats et une fosse arasée indéterminé. L'hypothèse de la présence d'une maison avec jardin, serait envisageable pour cette parcelle, si les différentes couches et fosses à gravats peuvent être liées à la démolition d'un tel habitat."
1014;"En 1927, lors de la déviation de l'égout en raison de la construction de la ligne n°10 du métropolitain, un mortier en pierre a été découvert au n° 49 de la rue Saint-Jacques, à l'angle du pan coupé du boulevard Saint-Germain. Son origine et sa datation n'ont pu être déterminées. A. Grimault précise que d'autres spécimens presque identiques, non datés, ont été découverts dans les fouilles de l'Hôtel-Dieu et étaient conservés au Musée Carnavalet en 1927. 
Ces travaux ont également permis la découverte d'une dalle du cardo maximus, encastrée dans le mur de fondation de l'immeuble."
1138;Des sondages ouverts en sous-sol n'ont pas permis de découvrir les niveaux de la ville antique. Ses limites sont en cet endroit perturbées par de puissants remblais modernes.
2135;Rapport en cours
954;"L’ancien jardin de l’hôtel de Saint Aignan a fait l’objet d’un aménagement en jardin public. Le mur de clôture a été restauré et pour l’épauler selon les normes de sécurité en vigueur, trois contreforts ont été construits. Les trois sondages correspondant, creusés jusqu’au sol géologique, ont permis d’examiner la fondation du mur qui pourrait appartenir à l’enceinte de Philippe Auguste dont le mur du jardin suit le tracé dans la partie sud-ouest de ce dernier. Du mobilier céramique, médiéval et moderne a été recueilli dans les remblais."
1361;Un sondage a permis la mise au jour dans des remblais de quelques céramiques attribuables au XVIIIe siècle et de quelques éléments de faune.
1085;"L'opération a permis d'étudier sur près de 60 m de long et sur une hauteur moyenne de 2,50 m, un tronçon du plus ancien bastion de l'enceinte dite ""des Fossés Jaunes"". Cette fortification était très mal connue aussi bien dans sa chronologie que dans le détail de sa mise en oeuvre. Même si la base du rempart n'a pu être atteinte, il s'agit du premier segment dégagé de cette importance appartenant à la quatrième enceinte de la rive droite de la Seine. L'opération a aussi mis au jour les fondations de deux constructions adossées au rempart. La fouille n'a pas apporté d'éléments décisifs quant à la datation du rempart et du bâti postérieur. Néanmoins, l'opération a permis de confirmer que le bastion est bien antérieur à 1631."
1566;"En 1867 et 1868, Th. Vacquer signale la découverte d'au moins sept sépultures à l'occasion de travaux d'égouts. Dans l'immeuble qui occupe l'emplacement de l'ancienne église Saint-Hippolyte, se trouve un grand sarcophage de pierre dont on aperçoit l'extrémité dans une cave. Deux ou trois sont en sarcophages de pierre. L'un contient une épingle en bronze avec tête à facettes telle qu'on les faisait au IVe siècle. Deux sont des sarcophages de plâtre. L'un comporte un décor : « une grosse croix en reliefle ». Trois sont des sépultures en pleine terre, peut-être antiques ou du haut Moyen Age, peut-être en cercueil, car il y a de grands clous.
Le 11 juin 1867, il signale en outre la découverte d'au moins huit sépultures dans un terrain adjacent à l'église. Auncun sarcophage n'a été trouvé, mais des sépultures plus anciennes consistant en fosses creusées dans le sable et orientées ont été mise au jour. Elles dateraient, selon toute vraisemblance, de la seconde moitié du IVe siècle. Huit sépultures en pleine terre, dont deux d'enfants ou d'adolescents, les bras probablement le long du corps. L'un des individus avait une pierre comme oreiller. 
En juin 1867 encore, Th. Vacquer signale la découverte de cinq sépultures. En raison de la proximité de l'église Saint-Hippolyte, on ne peut être sûr que ces cinq sépultures en pleine terre, probablement en cercueil (présence de clous), ne soient pas médiévales."
1086;"Le site du Théâtre National de l'Odéon a essentiellement livré des structures en creux dont vingt-cinq puits. La fouille et les analyses paléoenvironnementales de ces derniers éléments ont montré qu'ils correspondaient à des dépotoirs ayant servi de latrines. En raison de la densité de creusements, il est cependant exclu qu'il s'agisse de leur fonction initiale. Cette dernière n'est toujours pas définie (fosse d'extraction de marne ?). Grâce à l'orientation des vestiges, la présence d'une voie, déjà supposée dans certaines restitutions de Lutèce, a été démontrée. Il s'agit du prolongement de l'axe antique de la rue de Vaugirard vers le théâtre romain. Le contenu des puits dépotoirs permet de mieux définir ce quartier périphérique. Il s'agirait d'un secteur artisanal où sont pratiquées des activités reléguées en dehors du centre-ville, la boucherie de boeuf au 1er siècle, l'élevage de porc aux Ier-IIe siècles, le travail de la forge dans la seconde moitié du IIe et dans la seconde moitié du IIIe siècle. Des activités occasionnelles ont aussi été relevées comme la pelleterie ou la tabletterie. Enfin, la présence d'ateliers de verrier est probable dans ce secteur"
1239;"À une date indéterminée, Théodore Vacquer fit la découverte de toute la partie méridionale des thermes de Cluny lors de la construction d'immeubles nouveaux."
799;"La surveillance de quatre sondages à proximité de l'institut de géographie a mis en évidence des niveaux d'occupation antiques très stratifiés jusque 4,40 m de profondeur, dont une maçonnerie."
